%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1598621631356227823,4944,1598621631355744663,xsense,-0.8796015564,0.177847519541,-0.427255884065,-0.110107998361,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0155915298111,1.88105363217,-0.0321415428216,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.907866369,0.221393921381,-5.79221927228,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631356686752,4945,1598621631356220926,xsense,-0.87583399194,0.176589676582,-0.434961236257,-0.111980478836,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0293446458856,1.77285221209,-0.0774167869218,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25182179644,-0.00168079391038,-5.54925253429,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631393798541,4946,1598621631393346925,xsense,-0.872134621255,0.175283377347,-0.442321563916,-0.114055136359,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0714792646102,1.71527621122,-0.113849776116,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86187370988,0.0810447206395,-5.72604773914,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631394719377,4947,1598621631394350952,xsense,-0.868247013773,0.173941512204,-0.44986153021,-0.116258664382,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0885316003096,1.76802380142,-0.120536183609,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49109439738,0.603853263481,-6.38481113785,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631395216363,4948,1598621631394899623,xsense,-0.863934241605,0.172646154847,-0.458037351986,-0.118375316622,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0656764602111,1.91318284538,-0.0753081743665,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58983632162,0.796217348646,-7.03809388681,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631397902354,4949,1598621631397569312,xsense,-0.859020366666,0.171345122289,-0.467143885708,-0.120421961315,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0348731775949,2.12620333156,-0.0268442582033,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9967724811,0.972745173927,-6.92631055871,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631433716123,4950,1598621631433273611,xsense,-0.853678084277,0.170063296546,-0.476777908335,-0.122454194365,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266764545022,2.25663726366,0.00498492381749,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.10901795842,0.461804723933,-5.94304960237,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631434571865,4951,1598621631434167614,xsense,-0.84832557869,0.168849553049,-0.486142975586,-0.124493165529,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0434740217534,2.20951846994,0.00993039330416,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41297543807,0.139828466761,-4.84949911959,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631437677003,4952,1598621631437253188,xsense,-0.843255770197,0.167458878885,-0.494827629629,-0.126581384368,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050820829177,2.07350100864,-0.0515913002348,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77279151868,0.200873078144,-4.19156730962,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631438213454,4953,1598621631437811858,xsense,-0.838414471153,0.165953248519,-0.502951349649,-0.128688125925,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0553144775823,1.95895864201,-0.0944411398063,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24596611147,0.0896695728866,-3.79783167743,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631482811929,4954,1598621631482409722,xsense,-0.83363053928,0.164401000312,-0.510797932314,-0.130835421117,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0654139385233,1.91001592304,-0.11564549325,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.60764563157,0.0711626934581,-3.91547608137,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631485347075,4955,1598621631484977597,xsense,-0.8290410304,0.162737174563,-0.518174557167,-0.133051532247,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0755868823318,1.8162224316,-0.159698261851,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75211848609,0.180404845728,-3.98044168984,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631485693392,4956,1598621631485456761,xsense,-0.824783080088,0.160975222904,-0.524893651861,-0.135301524931,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0839005762222,1.6773555298,-0.20809226545,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28824036693,0.266425054733,-3.90619706043,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631486097811,4957,1598621631485903835,xsense,-0.820482362098,0.159200099328,-0.531543000307,-0.137572019988,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0890155216928,1.67054712697,-0.212603979223,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39812644531,0.487887307042,-3.99178492881,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621631486732117,4958,1598621631486408819,xsense,-0.815930026161,0.157546081457,-0.538424229195,-0.139774010613,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0904743898272,1.7305650905,-0.171411422266,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.06495647662,0.717353549241,-4.39607776133,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
